jagħmilhom	does	يَا
ejsbar	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
felħitx	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kokka	Coke	كوكايلا
jikkwalifikawx	not qualify	ما يُصْلُحْشْ
nxomm	the following:	المعلومات التالية:
jibbiesu	to be sold	بيع
jeħilx	not be sweetened	ما يُحْلُو
bailout	the pilot	الطيار
daq	of which:	مِنْهُمْ:
informajt	reported	رُوِّحْ
kwarantina	quarantine	كوارنتين
tlett	three	ثلاثة
ekwipaġġ	crew	طاقات
sejjaħlu	shall call	يطالبوا
Firelight	Firelight	نورتة نار
Ċopski	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħadida	the following:	المعلومات التالية:
bhejjem	animals	الحيوانات
vast	wide	فاضة
konsenja	consignment	الشحنة
once	11	11
ssiġillaw	sealing	الخيطات
meetings	meetings	الاجتماعات
jirnexxilux	are not successful	ما ينجحوا
jbierek	the following paragraphs are added:	يُضافُوا الفقراتْ المُتَحَدَّثَة فِي التَّحْ
salvu	Salvage	الخلاص
dubbiena	doubtful	شُكَّان
imqajjem	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
lakuna	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
influwenza	influence	تأثير
tirtrogħod	removing	إزالة
għarfien	knowledge	معرفة
immedjat	immediate	فوري
oppost	on the contrary	عكس هذا
stenniet	waiting	ينتظر
xewka	cravings	الحُسْنَاتْ
Għamiltu	It did	رَاهو كَانْ
istrutturi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
bħal-	as	كمان
għext	the following:	المعلومات التالية:
baxxuta	low	قلة
Allura	So, what?	إِمَّالاَ، شْنُو؟
Rumana	Roman	رُومَانْ
sfajna	the sphincter	المُخَاطِرْ
WhatsApp	The following information is provided:	المعلومات التالية:
problemi	problems	مشاكل
flamingo	Flamingo	فلامينغو
terroristiku	terrorist	الإرهابيين
jordom	for the manufacture of goods	لِصْنَاعْ السِّلْعَة
spiċċat	expired	فُرِّقْ
tkabbir	growth	النمو
labirint	Labyrinths	الملاذات
finali	final	النهائي
istabbilità	stability	ثبات
qabdet	caught	متسجلة
iskossi	Scotch	الويسكي
każi	cases	الحالات
temtem	completed	كملت
storiċi	historical	تاريخي
Kalifornja	Other	مَا عِنْدُو
nurihielu	weighing	ثقل
deherli	appeared to me	ظهرت لي
aċċessibbli	accessed	متلازمين
umberto	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kunsens	Consent	الموافقة
silwett	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
bniedma	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
rejiet	of which:	مِنْهُمْ:
Għandu	It shall:	يَعْطِيهْ:
jinsistu	exists	موجودة
antibijotiċi	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
neħodha	take	خذي
iebes	Hard	صعب
ħerġin	outgoing	الخروج
ġurnalista	journalist	صحفي
każin	case	الحالة
WC	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
naħdimx	not working	ما يعملش
għeruq	roots	الجذور
solenni	Solemnity	المراسم
oħt	Other	مَا عِنْدُو
tevolvi	develops	يطور
għamluhx	have not	ما كانش
Konġunt	Joint	مشترك
m'	the following:	المعلومات التالية:
sigrieta	secret	السر
ġaladraba	in the case of	في حالة
komdi	Comfort	تَوَّا
fiż-	in the	في
diviżjoni	division	القسمة
ngħidlekx	I'm not telling you	ما نْقُولِكْشْ
gradi	Degrees	درجات
year	year	السنة
kawtelatorji	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
rnexxili	success	ناجاح
wiġib	the answer	الجواب
ingredjenti	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
fuck	fuck	اللعنة
mezzi	means	متاع
corchet	a width of not more than 15 mm	للاستعمالات المختلفة
Kummissarji	Commissioners	المفوضين
jgħaddix	does not pass	ما يمرش
arretrati	the amount of the investment	مبلغ الاستثمار
ħasil	washing	غسيل
pakkett	Package	الحزمة
twaddbet	adjusted	مُعَدِّلْ
jibqa	remains	بقايا
ħdimna	work	العمل
ċelebrazzjonijiet	celebrations	الاحتفالات
tu	you	إِنْتِ
rremettiet	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jonqsok	beef	لحم البقر
moħu	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
elisin	other	غيرها
eat	eat	كُلْ
kkastrata	Castrated	كاستري
ansjetà	anxiety	قلق
jkunu	be	كَانْ
q	q	ق
qtar	Other	مَا عِنْدُو
jitqabbad	is attached	مرفوعة
Napuljun	The following table shows the results of the evaluation:	الجدول التالي يظهر النتائج مِالتقييم:
jikkonsidra	considering	فكر في
lebsin	Other articles of clothing	فُرْقَة وِلاَّ مَا عِنْدْهَا
turina	touring	جولات
jikun	of which:	مِنْهُمْ:
ċertifikat	Certificate	الشهادة
tqarraq	Cheating	الخداع
cut	cut	كَسْرِينْ
jaqgħulek	falling	تسقط
laqqamnieha	the following table shows the following:	الجدول التالي يظهر الشيطة الي بعيد:
Ġwanni	Other articles	المواد الأُخرى
qasir	short	قصرة
tirrikonoxxi	recognises	يُعْرِفْ
mistenni	expected	متوقع
qalulniex	please tell us	إرجوك قُل لينا
bdejtx	I did not start	ما بَدِيتِش
fawntin	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
titbissem	the smell	الرائحة
tektek	the following information is provided:	المعلومات التالية:
ħakma	the ruling	الحكم
ġibdiet	the following points are added:	يُضافوا النقاطْ الِّي تَوَّا:
jippermettilix	does not allow	ما يسمحش
ħija	my brother	أخي
Insemmi	Name of the	اسم المكتب
sittax-	sixteen	ساسة عشر
Xtaqt	I want to	نحب نجم
seba'	seven'	سبع"
żobbok	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kreatura	creature	المخلوقات
imbarazz	embarrassment	الحرج
fomm	mouth	فم
xkiel	disruption	التعطيل
pubblikazzjonijiet	publications	المطبوعات
miblugħ	Unlocked	مَحْلُولْ
żaqq	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
inħalli	to leave	نخرج
four	forests	الغابات
xogħolha	her work	عملها
kompetenti	competent	مُتمركزين
units	units	وحدات
riċerki	research	البحوث
qisek	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jeħilha	is removed	يُزْحَى
ibni	my son	ابني
intfajt	I was killed	قُتِلْتْ
fuljett	paper	ورق
xalata	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
xotti	Dried	جَفَّى
Officer	Officer	ضابط
ibaxxi	fish	السمكة
jintebaħ	opened	مفتوح
imperatur	Emperor	الإمبراطور
tqila	weight	وزن
jitkellem	speak	كلمو
Artiklu	The following Article shall apply:	المادة التالية تُطبق:
Qoton	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
chickened	chickened	طائر
mil	mil	ميل
intelliġenti	smart	ذكي
għamiltuh	have done	فاعلوا
laġenba	side	الجانب
regolarment	regularly	بانتظام
għawdex	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tippreżenta	presenting	تقديم
Aħseb	Thinking	التفكير
indunat	Induced	مُحْرِمْ
nagħti	to give	إعطاء
nqalbu	heart	القلب
maqbud	Trapped	فُسِدْ
ninżgħu	to land	ليهبط
ridtx	I did not want to	مَا حَبِّيتِشْ
triq	road	طرقات
tinsa	the weight of the product	ثقل المنتج
nonfħux	not blown	ما فجروا
inguanez	Inorganic compounds	المكونات غير العضوية
ljieli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
anzjani	elderly	كبار السن
nora	a cloud	سحاب
kimika	Chemical	كيميائي
għagħa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
taħseb	think	فكروا
Qabel	Before	قْبَلْ
numri	numbers	أرقام
tmexxija	management	إدارة
bħax-	as	كمان
Korp	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Liża	Liza	ليزا
hu	he	هِي
karatterestiċi	characteristics	الميزات
ipaċpaċ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
fildiferru	in the case of discharges	في حالة التسريبات
tammiraw	target	الهدف
ċekknuhielhom	the number of children	عدد الأطفال
skrivana	paper	ورق
jagħtihulna	gives us	يَعْطِينَا
iggradwa	Graduated	تخرجوا
titlaqni	leave me	خليلي
rikbitu	receipt	الإيصالات
iġganti	Giant	غامر
jitberraq	a width of not more than 15 mm	للاستعمالات المختلفة
telespettaturi	television viewers	المشاهدين التلفزيونيين
Djoċesana	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
report	report	تقرير
catered	catered	طعامات
konċentrazzjoni	concentration	تركيزة
antipatku	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
naħsbuha	we think	نعتقدو
kelma	word	كلمة
Berlusconi	The Commission shall adopt delegated acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهُمْ المَشْيَا مِن
konfuż	confused	مُربَط
jiddeċiedi	decides	يقرر
iblah	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
mitlubin	requested	طلب
kitbitli	Other articles of paper	طرازات أخرى من الورق
tħoll	release	الإفراج
kandidat	applicant	مقدم الطلبة
għuda	the date of the date of entry	تاريخ تاريخ الدخول
ve	the following:	المعلومات التالية:
ganċ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
lsienhom	their tongues	لسانهم
objective	Objective	الغاية
Nieħdu	Take	خُذْ
biss	only	فقط
Lista	List of products	قَائِمْ المُنتَجْ
Procurement	Procurement	المشتريات
msarnu	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
werka	Other	مَا عِنْدُو
adoloxxenza	Adolence	المُتَوَلِّي
jimorrru	running	يُجْرِي
ilsieni	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
ifakkarmni	I'm going to be a little bit nervous.	بَاشْ نْكُونْ قْلِيلْ مْتَاعْ تَرْتْ
qagħdet	has been	كان
jalla	Other	مَا عِنْدُو
range	range	نطاق
turistiku	tourism	السياحة
jkellmuni	speak to me	تكلمني
jgħidha	says	يقول
pamela	other	غيرها
libertà	freedom	الحرية
ngħinu	help	المساعدة
immaġina	image	الصورة
left	left	ليسار
qa	Other	مَا عِنْدُو
sakkarni	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
iġġildu	to be welded	يُصْلَحْ
iftaħlu	the following:	المعلومات التالية:
inxteħtu	the power to supply the vehicle	القوة للاستيعاب للمرأة
jiggosta	food	الغذاء
jħarsu	the following:	المعلومات التالية:
tipproteġi	Protect	حْفِظْ
ljunfant	Elephant	الفيل
kxaxen	cash	النقود
imqarraq	cheated	خادمت
insaqsi	the question	السؤال
domandi	Questions	تسئلة
salini	Salines	المالحات
naqqsu	reduced	خفض
sekondi	seconds	ثواني
tfarfira	the following:	المعلومات التالية:
diskors	discourse	الخطاب
ferqu	the difference	الفرق
qawwija	High strength	القوة العالية
uffiċċju	office	المكتب
Antida	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
deputati	Members of Parliament	المشاركين في البرلمان
imqadef	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
oppressiv	oppressive	القمع
nursing	nursing	المرضى
tiċċaqlaq	moving	يتنقل
ħtaftu	search	البحث
tqasqis	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
saċirdoti	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
kolli	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
lid-	the	المشاركة
non	not	لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا
komdu	the following:	المعلومات التالية:
sorsi	Other materials	المواد الأُخرى
tħennija	compassion	الرحمة
kontradizzjoni	the contraindication	المضادات
egħżeż	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
narakx	not	لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا
maġenbi	side	الجانب
sfida	The challenge	المشكلة
mixi	walking	المشي
sengħa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sarċedotali	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sħabna	our partners	شركاءنا
japplika	Applies	يُطبَقْ
Ċetta	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
taħfer	Forgiveness	الغفران
Tinduna	Other	مَا عِنْدُو
jittraduċu	translate	ترجمة
għalikom	for you	ليك
tfejjaq	healing	الشفاء
produttivi	Manufacture from materials of heading 810	مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ
koperattivi	cooperatives	كُوأپراتي
spalla	shoulder	الكتف
fommhom	in their mouths	ف فمهم
rabat	Rate	سعر
kkonfermat	confirmed	ثبت
ħallejtha	I left her	خَلايتْهَا
eżempji	Examples	مثالين
psikoloġija	psychology	علم النفس
noħdulu	the following:	المعلومات التالية:
qaleb	the name	الاسم
idejjhom	their hands	يداهم
ħareġġ	the output	الخروج
Lippu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
luminata	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
plywood	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
kristjaniżmu	Christianity	المسيحية
osservazzjonijiet	observations	الملاحظات
poema	poem	القصيدة
Bniedem	Human	البشر
reliġjonijiet	Religions	الدينات
Giordimaina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
irqaqat	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Guliermu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tugżah	weight	وزن
Napprezza	I appreciate it	نقدر هذا
Mustafà	Other	مَا عِنْدُو
kruha	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Polz	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
nnifsi	self	نفس
tensjoni	pressure	الضغط
snienha	the tooth	السن
tellgħulu	of a height of	من ارتفاع من
jistaqsuna	Asks us	يَسْألْنَا
Dawn	These	هذي
Hija	It is	هيكَا
Naqralek	I read you	قَدْ قَدْرِتْكِ
jiġrilek	happens to you	يحدثك
ivvotaw	voted	صوتوا
Appostolika	The Apostleship	رُسُلْ
ardita	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Akkademja	The following is a list of the official languages of the European Union:	هُوَ القائِمْ مِنْ اللُّغَاتْ الرُّسَامَة مْ
strip	strip	طنبور
mark	mark	مارك
subartiklu	Subpart	الجزء التالي
informatika	information technology	تكنولوجيا المعلومات
intefgħu	expenditure	النفقات
Boccadifuoco	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
dħul	income	دَخَلْ
Mejda	Table	طاولة
triċ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
mqaddsa	sacred	القديسين
ipprotesta	protest	المظاهرات
Pero	Other	مَا عِنْدُو
traffiku	traffic	حركة المرور
tkixxef	Drying	جفاف
sieħba	partner	شريكة
animaleski	Other animals	الحيوانات الأخرين
togħġobnix	I don't like it	مَا نْحِبِّشْ.
Tafu	You know	تعرفو
sajjar	washing	غسيل
lwien	Other	مَا عِنْدُو
ħżiem	Fats and oils	الدهون و الزيوت
jixhed	witness	الشاهد
għollewhom	high	كبيرا
assolut	absolutely	بلا شك
invoices	invoices	الفواتير
għadab	Other	مَا عِنْدُو
xemgħa	a candle	شمعة
barokka	a barrow	كاسة
jingħaqdu	to join	للاضمام
ispazju	space	الفضاء
Wistin	Other	مَا عِنْدُو
nawfraġju	freshwater	المياه العذبة
press	press	صحافة
ostakli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għarrasha	for headings	للوصولات
tellief	Other	مَا عِنْدُو
ġġagħlu	to be carried	يُحْمَلْ
Imnejn	Other	مَا عِنْدُو
Interist	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
sort	type	النوع
tkun	be	كَانْ
metafori	other than those specified in this Annex	غِيرْ المُدَّعِّينْ فِي المُدَّة هَاذِي
sigħat	hours	ساعات
dalgħodu	morning	الصباح
Ganter	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Ejjew	Come on now	هيا، توا
evitat	Avoided	مَا تِتْجَنُّوشْ
riferenza	reference	المرجح
Ylenia	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ferħu	happy	فرحين
żgħar	small	صغار
dragon	dragon	دراكون
Mosta	Other	مَا عِنْدُو
bagħtitlu	sent	رُسُلْ
Tinsiex	Do not forget	مَا تِنْسَاشْ
Jimporta	Imported	الواردات
tneħħih	removing	إزالة
sens	direction	الإتجاه
Vallette	Vallette	فاليتا
doppju	double	مُضاعفة
każijiet	cases	الحالات
studenti	students	الطلاب
men	but	آمَا
xandir	broadcasting	البثات
tawh	the date of the date of the date of the date of the date of the date of the date of the date of the date of the	الموعد المحدد للاستفادة من الموعد المحدد
xewqitha	wishes	تمنيات
Ġunter	Other	مَا عِنْدُو
jżommu	hold	إمسك
daħka	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sabhiex	the following:	المعلومات التالية:
jappoġġja	support	الدعم
idoli	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
elementi	elements	العناصر
qasira	short	قصرة
Murtalun	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
irnexxiet	successfully	بنجاح
ispagetti	Spaghetti	سباجيتي
Jonathan	Jonathan	جوناثان
dak	that	هذا
turistiċi	tourism	السياحة
rummien	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Ħriġna	The Commission shall adopt implementing acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهْ القُرْبَة مْتَاع
ashtray	ashtray	كاسير
xsipping	xsipping	كايسيبين
agents	agents	العاملين
feeling	feeling	الحساسة
waqtha	during which	وخلالها
ħorn	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
żgiċċa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
naqsux	not deficient	ما فاقي
tesplora	explores	يكتشف
miżgħuda	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Sean	Sean	شون
jqaq	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Diju	Other	مَا عِنْدُو
jarah	see	شرف
jsellem	greetings	سلمو
ħall	the following:	المعلومات التالية:
istallett	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
allegorika	Allegory	الحكاية
tiben	children	أطفال
mixwi	mixed	مُخَلَّطَة
widien	widien	ويدين
kellna	we had	كان عندنا
sħab	Members	الأعضاء
bażilika	Basal	الباسال
insihom	are	هيه
xift	Other	مَا عِنْدُو
jispiċċax	expires	يُطول
boċċu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
D	D	D
batta	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jinnamraw	to be seen	يُرْآهُمْ
Surmast	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ifakkar	remember	تَذْكُرْ
għarbi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
mewġ	Wave	الموجة
tumur	a tumor	الورم
mitlufa	lost	ضاعين
daqskemm	as far as	في الحد
wassalni	brought me	جَابني
liċ-	to the	ل
jissikka	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
jeħles	is released	يُطلع
rriduhx	not to be	ما يِشْكُلْ
ippermettuli	permitted	يُسمح
Jimmy	Jimmy	جيمي
jinteressahom	interested	المهتمين
jiċċajtaw	the following:	المعلومات التالية:
skema	Scheme	سيكيم
intant	whereas	وْمَا يْقَالْ
jinviżta	visited	زيارة
kumplessi	complexes	المجمعات
inpoġġi	deposits	ديبوزات
Reno	Other fish	سمك أخرى
kontinent	Continent	القارة
kaffa	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
pause	break	كسرة
tagħtihielna	give us	إعطينا
responsabbli	responsible	مسؤولة
ripetizzjoni	repeated	متكرر
dual	dual	ثنائي
joħlom	the following:	المعلومات التالية:
him	him	هُو
Bruyne	Bruyne	برويين
dmija	blood	دِمْ
tissielet	the following:	المعلومات التالية:
jissamma'	the name of the person concerned;	إِسْمْ المُؤْمِنْ،
speċifiċi	specific	المحدد
gradwazzjoni	graduation	التخرج
jfendi	Fishing	صيد السمك
ħaww	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Uffiċjal	Official	رسمي
mejxi	walking	المشي
idana	Dental	فِي العَمْلْ الأَسْنَانِي
żvilupp	development	تطوير
I'	The following is the list of the countries:	هيكما القائمة من الدول:
maħsub	intended	المقصود
jġorruha	carrying	الحمولة
irnexxielkom	have succeeded	ناجحوا
Żmien	Time	وقت
wegħduna	promise	العهد
ball	ball	كرة
Francisco	French	فرنسي
nagħmluhom	we do them	نَعْمْلُوهُمْ
istaġun	season	الموسم
bankini	banks	بنك
difett	defects	العيوب
taċ-	of the	من
Mandela	The Commission	المفوضية
wi	w	و
dinj	world	العالم
Don	Other	مَا عِنْدُو
sensija	sensation	الحساسية
Prinċep	The following is the list of the following:	هُوَ القَائِمْ مْتَاعْ المُؤْمْنِينْ:
qosor	short	قصرة
ġużi	the following:	المعلومات التالية:
ninsaporti	the following:	المعلومات التالية:
salt	Kingdom	المملكة
tonda	round	الجولة
ltqajt	I received	تلقى
nħbiet	other than	غير
kinetx	was not	ما كانش
difiża	defence	الدفاع
Anki	Other	مَا عِنْدُو
fadallu	remaining	بقايا
nħejju	preparation	إعداد
radi	radiation	الإشعاع
bigilla	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
umoriżmu	Humor	المرح
tagħmillu	do it	إفعلي هذا
imperjali	imperial	الإمبراطورية
impediment	impediment	العقبات
windscreen	a windscreen	شاشة رئيسي
kastell	a castle	قصر
ukol	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
iqattar	to collect	ليكليف
mudell	model	موديل
koħol'	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
reviżjoni	the review	المراجعة
Investor	Investor	المستثمر
notification	the notification	الإخطار
jirrigwardjaw	concern	قلق
għannaqni	Nails	أظافر
riflessa	reflected	متعكس
nagħmillek	I'll make you	بَاشْ نَجْبِرْكْ
Bin	Other	مَا عِنْدُو
tipperikola	hazardous	خطرة
pajjiżna	country	البلد
Jekk	If	إِذَا كَانْ
drawwa	habit	العادة
Mulej	My Lord	سَيِّدِي
itemm	end	النهاية
żbaljat	error	الخطأ
wed	Wedded	متزوجة
we'	we'	نحن"
arrest	arrest	قتال
iħarsuh	care	العناية
mastru	the master	المعلم
idi	the following:	المعلومات التالية:
kankru	cancer	السرطان
